Target: 12:30:9.1234

12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:38 2022011900
12:29:41 2022011900
12:29:56 2022011900
12:30:1 2022011900
12:30:6 2022011900
12:30:10 2022011900
12:30:12 2022011900
12:30:16 2022011900
12:30:21 2022011900
12:30:26 2022011900
12:30:41 2022011900
12:30:56 2022011900
12:31:11 2022011900
12:31:41 2022011900
12:32:11 2022011900
12:33:12 2022011900
12:35:11 2022011900
12:36:51 2022011900
12:38:31 2022011900
12:40:11 2022011900



Target: 19:42:29.685768

